ATLANTIC FLYWAY STATES AND PROVINCES,ABB,
Connecticut,CT,
,,
Delaware,DE,
Florida,FL,
Georgia,GA,
Maine,ME,
,,
Maryland,MD,
,,
Massachusetts,MA,
New Brunswick,NB,
Newfoundland,NL,
New Hampshire,NH,
,,
New Jersey,NJ,
New York,NY,
North Carolina,NC,
Nova Scotia,NS,
Nunavut,NU,
Ontario,ON,
Pennsylvania,PA,
Prince Edward Island,PEI,
Puerto Rico,PR,
Quebec,QC,
,,
Rhode Island,RI,
South Carolina,SC,
Vermont,VT,
Virginia,VA,
US Virgin Islands,VI,
West Virginia,WV,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
